N,n,t,va,prev
400,2.95918,2000,0.118718,0.0974637
400,3.06122,2000,0.189861,0.0249037
400,3.16327,2000,0.12806,0.0350461
400,3.26531,2000,0.27638,0.00745155
400,3.36735,2000,0.165949,0.0239976
400,3.46939,2000,0.24107,0.0822448
400,3.57143,2000,0.153027,0.0326358
400,3.67347,2000,0.067939,0.00288467
400,3.77551,2000,0.0949526,0.00550733
400,3.87755,2000,0.123767,0.0350202
400,3.97959,2000,0.124717,0.0699085
400,4.08163,2000,0.149662,0.076742
400,4.18367,2000,0.101086,0.0746848
400,4.28571,2000,0.0968445,0.0507562
400,4.38776,2000,0.114714,0.0475267
400,4.4898,2000,0.0572468,0.0183828
400,4.59184,2000,0.086415,0.00145675
400,4.69388,2000,0.0371681,0.0367024
400,4.79592,2000,0.149563,0.116113
400,4.89796,2000,0.0115816,0.0716965
400,5,2000,0.0366317,0.0268813
4000,0,1852,0.993009,9.73929e-07
4000,0.102041,2000,0.983459,0.000207509
4000,0.204082,2000,0.855063,0.00180302
4000,0.306122,2000,0.9268,0.00103583
4000,0.408163,2000,0.895079,0.000533129
4000,0.510204,2000,0.853905,0.00287524
4000,0.612245,2000,0.604051,0.00191818
4000,0.714286,2000,0.75649,0.00496153
4000,0.816327,2000,0.525071,0.000400286
4000,0.918367,2000,0.353962,0.00441108
4000,1.02041,2000,0.310205,0.00219341
4000,1.12245,2000,0.369467,0.00357858
4000,1.22449,2000,0.199479,0.0114099
4000,1.32653,2000,0.254087,0.0143675
4000,1.42857,2000,0.120136,0.0143895
4000,1.53061,2000,0.129815,0.000474522
4000,1.63265,2000,0.0520671,0.0140379
4000,1.73469,2000,0.0704337,0.00889391
4000,1.83673,2000,0.0267756,0.0116147
4000,1.93878,2000,0.0371567,0.0012444
4000,2.04082,2000,0.076402,0.0224593
4000,2.14286,2000,0.097683,0.00567431
4000,2.2449,2000,0.0822593,0.00693396
4000,2.34694,2000,0.0789554,0.00133845
4000,2.44898,2000,0.0778676,0.0186777
4000,2.55102,2000,0.0919626,0.00494146
4000,2.65306,2000,0.051592,0.00478148
4000,2.7551,2000,0.063811,0.0186975
4000,2.85714,2000,0.0739919,0.038957
4000,2.95918,2000,0.0157682,0.0200711
4000,3.06122,2000,0.0263991,0.0281793
4000,3.16327,2000,0.0274056,0.00230186
4000,3.26531,2000,0.0401762,0.00999707
4000,3.36735,2000,0.0570928,0.00313474
4000,3.46939,2000,0.0219359,0.0161061
4000,3.57143,2000,0.0807198,0.00479232
4000,3.67347,2000,0.0806806,0.0381234
4000,3.77551,2000,0.0279854,0.00107544
4000,3.87755,2000,0.0370341,0.0123072
4000,3.97959,2000,0.0166809,0.0120652
4000,4.08163,2000,0.0183817,0.0096246
4000,4.18367,2000,0.0481726,0.026593
4000,4.28571,2000,0.0155486,0.00847634
4000,4.38776,2000,0.0224585,0.0164368
4000,4.4898,2000,0.0152105,0.0113466
4000,4.59184,2000,0.00451874,0.0189218
4000,4.69388,2000,0.0184738,0.0100573
4000,4.79592,2000,0.0353194,0.00665416
4000,4.89796,2000,0.023173,0.0013081
4000,5,2000,0.0288675,0.0149545
